ra,dec,sigra,sigdec,sigradec,source_id,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
86.4824047,-3.0558090,5.5505,5.1625,-1.4474,90893a072-006817,16.421,null,0.5,1.301E+00,15.025,null,0.5,8.161E-01,1,0,0000,UU,10,58170.97085182,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.270720,270.761937
86.4824673,-3.0558871,1.0068,1.0730,-0.3164,03295r046-004352,16.182,0.413,2.6,9.441E-01,14.985,null,0.6,5.725E-01,1,0,0000,CU,10,58537.48389788,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.281296,189.340764
86.4825880,-3.0557569,1.5986,1.4516,-0.4338,09620r156-006269,16.046,null,1.2,1.232E+00,14.291,null,2.0,5.345E-01,1,0,0000,UU,10,58744.37319197,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.432754,63.785901
86.4825005,-3.0556906,0.8973,0.8788,-0.3061,57917a083-002893,16.037,0.319,3.4,3.701E-01,15.510,null,-2.0,5.258E-01,1,0,0000,BU,10,57090.58245837,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.436113,9.728642
86.4824332,-3.0556930,1.9243,2.0095,-0.7927,14449r072-005612,16.226,null,1.9,7.186E-01,15.325,null,0.2,7.727E-01,1,0,0000,UU,10,58902.30129404,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.453560,338.226687
86.4825627,-3.0559676,1.2014,1.4012,-0.5706,52813b191-004793,16.290,null,1.3,9.534E-01,15.166,0.416,2.6,7.621E-01,1,0,0000,UC,10,56922.90437546,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.640531,152.345463
86.4825905,-3.0556587,1.7365,1.9028,0.0258,09628r156-004738,15.988,null,1.4,9.906E-01,15.310,null,-1.4,8.504E-01,1,0,0000,UU,10,58744.63487106,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.674146,36.103224
86.4822597,-3.0557260,1.5943,1.8168,-0.7201,36811r097-005566,16.817,0.494,2.2,5.824E-01,15.364,null,0.1,4.630E-01,1,0,0000,CU,10,59633.21644983,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.847725,290.898909
86.4827080,-3.0558818,1.5521,1.8399,-0.7099,57913a015-004719,16.887,null,0.1,1.215E+00,15.091,0.493,2.2,5.266E-01,1,0,0000,UC,10,57090.45117295,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.859423,107.503233
86.4822623,-3.0560431,0.9425,1.0417,-0.3427,36817r073-006480,16.250,0.360,3.0,5.674E-01,15.467,null,-1.3,9.525E-01,1,0,0000,CU,10,59633.41229596,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.147460,223.002776
86.4823200,-3.0554800,0.7606,0.9191,-0.2258,25575r097-003867,16.213,0.288,3.8,9.257E-01,15.382,null,-1.7,5.183E-01,1,0,0000,BU,10,59266.07558256,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.319914,334.165626
86.4828624,-3.0559422,1.0607,1.2691,-0.4833,14437r072-006076,16.351,0.405,2.7,6.125E-01,15.442,null,-0.7,4.881E-01,1,0,0000,CU,10,58901.90883817,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.454735,109.096047
86.4826423,-3.0561975,2.6061,2.6587,-0.8383,90887a097-006155,16.725,null,0.5,8.444E-01,14.821,null,1.5,6.202E-01,1,0,0000,UU,10,58170.77449514,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.512098,157.303222
86.4825718,-3.0553900,1.8284,2.1522,-0.7176,74952a162-005478,16.313,null,1.4,1.249E+00,14.560,null,1.3,7.772E-01,1,0,0000,UU,10,57649.08986975,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.547595,12.312331
86.4826865,-3.0554262,1.7529,2.1192,-0.7430,03301r073-004087,16.238,null,-0.2,9.198E-01,15.102,0.540,2.0,6.801E-01,1,0,0000,UC,10,58537.68012605,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.568474,28.248063
86.4821124,-3.0561124,1.7061,2.0410,-0.8176,90889a072-005174,16.927,0.526,2.1,5.390E-01,15.639,null,0.0,3.926E-01,1,0,0000,CU,10,58170.83994735,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.712144,230.518130
86.4825723,-3.0553430,1.4921,1.5110,-0.4325,52805b191-004727,16.866,0.530,2.0,1.056E+00,14.570,null,1.1,3.888E-01,1,0,0000,CU,10,56922.64129517,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.713631,11.164614
86.4825800,-3.0553300,3.1941,3.8644,0.7436,47005a086-006720,15.941,null,0.7,8.190E-01,15.476,null,-0.2,5.505E-01,1,0,0000,UU,10,56731.78172197,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.764998,11.752026
86.4829276,-3.0560412,1.0655,1.0410,-0.2791,68869a077-003752,16.556,null,0.8,9.758E-01,14.537,0.356,3.1,7.955E-01,1,0,0000,UB,10,57449.79767650,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.811591,117.351099
86.4823363,-3.0553116,3.7815,4.5659,-1.6845,57914a107-005024,16.557,null,0.9,5.759E-01,15.609,null,0.0,9.692E-01,1,0,0000,UU,10,57090.51687932,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.867126,343.938213
86.4824681,-3.0552853,1.1027,0.9034,-0.3442,57929a083-003382,15.927,0.319,3.4,5.341E-01,15.319,0.459,2.4,5.562E-01,1,0,0000,BC,10,57090.97656947,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.889405,358.702622
86.4830000,-3.0559500,1.6240,1.9607,-0.6579,20852r156-006279,16.123,null,1.7,8.756E-01,15.130,null,-1.1,7.085E-01,1,0,0000,UU,10,59111.67346488,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.936088,105.088982
86.4830363,-3.0557927,0.9614,1.0121,-0.1664,09632r157-004315,16.172,0.306,3.5,6.769E-01,15.294,null,-0.9,6.557E-01,1,0,0000,BU,10,58744.76577431,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2.000802,88.216251
86.4829077,-3.0554127,1.1043,1.1203,-0.4217,74929b187-004299,16.297,0.328,3.3,6.581E-01,15.255,null,-0.2,9.859E-01,1,0,0000,BU,10,57648.36926203,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2.099929,47.069669
86.4822300,-3.0552700,5.5476,5.0440,-2.3889,86152a157-004606,16.522,null,0.7,1.116E+00,15.243,null,0.1,7.632E-01,1,0,0000,UU,10,58015.80698277,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2.141689,335.188667
86.4820502,-3.0562257,1.5486,1.5719,-0.5483,57929a082-007064,16.857,null,-0.3,6.768E-01,15.220,0.416,2.6,8.533E-01,1,0,0000,UC,10,57090.97644211,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2.151009,225.914647
86.4830784,-3.0559161,1.1189,1.3751,0.3083,31986r181-003654,16.168,0.397,2.7,7.319E-01,15.423,null,-0.8,4.842E-01,1,0,0000,CU,10,59475.59926579,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2.184824,100.068442
86.4819288,-3.0560705,1.0782,1.1138,-0.4179,86156a157-004201,16.263,0.326,3.3,5.423E-01,15.385,null,-0.4,6.920E-01,1,0,0000,BU,10,58015.93788615,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2.192214,244.672810
86.4831146,-3.0557612,4.0745,4.1155,-1.8861,57921a083-007542,16.384,null,0.7,6.801E-01,15.165,null,0.7,8.704E-01,1,0,0000,UU,10,57090.71387116,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2.288067,85.596456
86.4828390,-3.0552782,0.7682,0.9517,-0.3379,63852a164-005832,16.121,0.260,4.2,4.993E-01,14.877,null,0.7,8.247E-01,1,0,0000,BU,10,57285.32177477,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2.308850,33.984159
86.4818466,-3.0559579,1.0436,1.2702,-0.3995,97277b185-003919,16.308,0.432,2.5,6.403E-01,15.083,null,-0.5,7.768E-01,1,0,0000,CU,10,58379.89672212,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2.338421,256.838746
86.4818338,-3.0559642,0.9222,1.2746,-0.2335,25571r097-003278,16.531,null,0.5,6.129E-01,14.122,0.385,2.8,4.568E-01,1,0,0000,UC,10,59265.94480631,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2.388419,256.560301
86.4830622,-3.0554725,0.7631,1.2048,-0.4793,79981a077-002788,15.859,0.368,2.9,6.040E-01,14.898,null,1.7,1.253E+00,1,0,0000,CU,10,57813.77914924,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2.420046,59.863862
86.4818100,-3.0559300,1.5999,1.7905,-0.4231,74956a162-006330,16.864,0.542,2.0,6.139E-01,15.239,null,0.6,3.675E-01,1,0,0000,CU,10,57649.22090083,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2.447004,259.831557
