ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
86.3340146,-2.6872550,0.9778,0.9869,-0.4005,15.762,0.368,2.9,1.491E+00,15.476,null,-0.1,8.424E-01,1,0,0000,CU,10,58015.47959704,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.245636,135.078334
86.3332395,-2.6868253,1.0254,1.3404,-0.6526,16.977,null,-1.3,1.310E+00,14.390,0.385,2.8,5.178E-01,1,0,0000,UC,10,57813.45176218,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2.020257,289.215748
86.3340319,-2.6863044,0.6731,0.9050,0.1423,16.906,null,-0.9,9.391E-01,14.506,0.302,3.6,9.179E-01,1,0,0000,UB,10,58170.84007471,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2.709135,20.343048
86.3337196,-2.6880915,0.6985,0.9429,-0.1329,16.088,0.305,3.6,1.149E+00,15.022,null,0.8,4.843E-01,1,0,0000,BU,10,58379.76581881,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3.897616,182.665232
86.3327573,-2.6877542,1.2112,1.4073,0.1566,16.301,0.388,2.8,5.447E-01,15.647,null,-0.1,8.282E-01,1,0,0000,CU,10,58170.51268637,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4.521033,233.658941
86.3325676,-2.6866313,0.6524,0.6246,-0.2463,15.665,0.197,5.5,1.689E+00,15.223,null,0.2,4.277E-01,1,0,0000,BU,10,56922.57546144,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4.533717,287.500037
86.3338397,-2.6857243,0.9026,0.9548,-0.5206,15.703,0.371,2.9,3.279E-01,14.915,null,0.9,4.999E-01,1,0,0000,CU,10,59842.39720497,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4.635302,3.099663
86.3323715,-2.6869602,0.7182,0.6849,-0.1738,15.784,0.206,5.3,7.292E-01,15.162,null,0.8,7.118E-01,1,0,0000,BU,10,57284.66572873,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5.032260,272.041627
86.3324847,-2.6877321,0.6217,0.6642,-0.1500,15.761,0.225,4.8,1.197E+00,15.013,null,0.2,3.657E-01,1,0,0000,BU,10,59111.67346488,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5.302878,240.645137
86.3324585,-2.6862765,0.9662,0.9979,-0.3202,16.220,0.295,3.7,7.817E-01,14.961,null,0.3,6.592E-01,1,0,0000,BU,10,58744.04606127,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5.405128,299.244376
