Name,n,RAJ2000,DecJ2000,VarType,MagMax,Period,SpType,CanSeeInPhaseFoldedLightCurve,qual,AllWISE Name,allwise_ra_j2000,allwise_dec_j2000,query_rad,include
V1155 Cas,*,01 46 39.01,+61 14 06.1,BCEP,10.41,0.194047,B5,no,1,J014638.98+611406.0,26.6624508,61.2350166,2.50,1
V0353 Per,x,02 13 51.83,+53 54 52.5,BCEP,8.85,0.3908,B0.5IV,no,1,J021351.82+535452.5,33.4659499,53.9145933,2.50,1
QS Pup,*,07 49 12.86,-46 51 27.8,BCEP,5.84,0.1182,B1.5IV,no,1,J074912.86-465127.6,117.3036013,-46.8576767,2.50,1
IL Vel,*,09 17 31.15,-52 50 19.5,BCEP,9.13,0.18465,B2III,no,1,J091731.14-525019.5,139.3797783,-52.8387514,2.50,1
V0916 Ori,*,06 08 18.11,+13 58 17.5,BCEP,8.11,0.39912,B2.5V,no,1,J060818.10+135817.4,92.0754343,13.9715206,2.50,1
V0606 Pup,x,07 28 44.79,-44 28 16.6,CEP,11.1,1.43777,nulltype,YES!,3,J072844.78-442816.6,112.1866061,-44.4712934,2.50,1
AU Peg,*,21 24 00.24,+18 16 43.8,CEP,8.98,2.4015,F8,no,1,J212400.23+181643.5,321.000991,18.2787713,2.50,1
AS Mus,*,13 44 40.16,-68 28 35.1,CEP,14.0,26.425,nulltype,YES!,3,J134440.13-682834.8,206.1672498,-68.4763385,2.50,1
CE Oph,x,16 53 38.40,-26 17 02.4,CEP,13.2,1.067159,nulltype,no,1,J165338.43-261702.0,253.4101609,-26.2839164,2.50,1
LR Pup,x,07 57 03.71,-28 09 41.7,CEP,11.1,3.33124,nulltype,YES!,3,J075703.71-280941.7,119.2654653,-28.1615952,2.50,1
DU Ara,*,17 23 12.61,-63 53 47.5,CW,11.73,1.6406576,nulltype,no,1,J172312.60-635347.5,260.8025168,-63.8965476,2.50,1
LW Ara,*,17 28 09.26,-46 38 14.4,CW,12.4,11.148218,nulltype,YES!,3,J172809.26-463814.3,262.0386231,-46.6373108,2.50,1
MR Ara,*,17 56 41.01,-45 46 24.4,CW,10.94,19.822392,nulltype,YES!,3,J175641.00-454624.4,269.1708623,-45.7734654,2.50,1
V3762 Oph,x,16 56 55.96,-04 04 16.4,CW,12.3,7.83575,nulltype,YES!,3,J165655.96-040416.4,254.2331819,-4.0712359,2.50,1
V1706 Aql,*,18 58 45.84,-05 57 04.6,CWA,13.99,15.38153,nulltype,YES,3,J185845.83-055704.7,284.6909713,-5.9513178,2.50,1
AL CrA,*,18 15 11.51,-37 06 51.9,CWA,11.46,17.06,nulltype,kinda,2,J181511.51-370651.8,273.7979857,-37.1143907,2.50,1
AA Oct,x,19 47 48.30,-76 23 09.9,CWA,15.1,29.0,nulltype,YES-ish,2,J194748.05-762310.8,296.9502463,-76.3863516,2.50,1
ST Pup,*,06 48 56.41,-37 16 33.3,CWA,9.28,19.0,F2:e-G2I,YES-ish,2,J064856.41-371633.3,102.2350567,-37.2759367,2.50,1
AX Tel,*,18 52 49.15,-56 40 31.8,CWA,12.2,9.90808,nulltype,"YES, at 9.89d",3,J185249.12-564031.9,283.2046866,-56.6755453,2.50,1
VX Cap,*,21 06 22.45,-18 49 39.8,CWB,14.17,1.3275486,nulltype,YES!,3,J210622.50-184939.9,316.5937764,-18.82777,2.50,1
FM Del,*,20 33 44.26,+16 16 17.6,CWB,12.3,3.95452,F5-F8,BEAUTIFUL,3,J203344.25+161617.4,308.4343876,16.2715189,2.50,1
UX Nor,*,16 27 44.77,-56 47 08.0,CWB,13.25,2.38577,nulltype,YES!,3,J162744.70-564708.2,246.9362823,-56.785626,2.50,1
BF Ser,*,15 16 28.50,+16 26 39.8,CWB,11.05,1.1654394,A7-F3,WHOA - NICE!,3,J151628.48+162639.5,229.1186972,16.4443289,2.50,1
RT TrA,x,16 34 30.89,-63 08 00.8,CWB,9.43,1.9461124,F8:(R)-G2I-II,YES!,3,J163430.89-630800.8,248.6287109,-63.1335829,2.50,1
T Ant,*,09 33 50.86,-36 36 56.7,DCEP,8.88,5.898053,F6Iab,YES!,3,J093350.85-363656.6,143.4618981,-36.615746,2.50,1
Y Aur,x,05 28 39.24,+42 26 15.9,DCEP,9.16,3.8594076,F5-F9,maybe?,2,J052839.23+422615.8,82.1634915,42.4377341,2.50,1
AO CMa,*,07 24 40.59,-26 11 18.6,DCEP,12.9,5.815713,nulltype,YES!,3,J072440.58-261118.5,111.1691204,-26.188493,2.50,1
UZ Dor,x,06 04 10.99,-68 12 58.4,DCEP,14.2,10.91235,nulltype,YES!,3,J060411.06-681258.5,91.0461086,-68.2162665,2.50,1
DX Pyx,x,08 34 26.08,-35 59 06.7,DCEP,11.2,3.73726,nulltype,YES!,3,J083426.06-355906.6,128.6086219,-35.9851741,2.50,1
MZ Cam,x,04 05 15.94,+54 36 11.4,DCEPS,11.3,3.25,nulltype,maybe?,2,J040515.94+543611.3,61.3164346,54.603158,2.50,1
BY Cas,*,01 47 11.92,+61 25 21.0,DCEPS,10.06,3.22226,F5-F7,maybe?,2,J014711.91+612520.9,26.799637,61.4224739,2.50,1
X Lac,*,22 49 03.18,+56 25 41.5,DCEPS,8.2,5.44499,F6-G0,no,1,J224903.17+562541.5,342.2632375,56.4282035,2.50,1
EU Tau,x,05 45 40.53,+18 39 24.8,DCEPS,7.9,2.10248,G5,no,1,J054540.53+183924.8,86.4188829,18.6568943,2.50,1
UY Mon,x,06 58 50.31,+09 37 21.8,DCEPS,9.22,2.39813,F8II,YES!,3,J065850.31+093721.8,104.7096589,9.6227318,2.50,1
BB And,x,00 17 43.94,+45 08 51.8,M,13.0,290.0,S3e,"YES, at 308d",3,J001743.94+450852.0,4.433107,45.1477969,2.50,1
WY Aps,x,17 52 23.39,-77 13 31.6,M,10.4,213.9,nulltype,maybe?,2,J175223.41-771331.9,268.0975805,-77.2255324,2.50,1
FN Del,x,20 34 27.02,+15 05 08.5,M,14.3,289.6,nulltype,YES!,3,J203427.00+150508.0,308.6125137,15.0855717,2.50,1
V0434 Lyr,x,19 16 53.67,+32 36 12.9,M,14.8,262.7,nulltype,YES-ish,2,J191653.66+323612.7,289.2235933,32.6035445,2.50,1
AI Pic,x,06 32 49.57,-63 35 49.8,M,12.2,309.0,Me,YES!,3,J063249.57-633549.8,98.2065547,-63.5971918,2.50,1
AL Aqr,x,22 10 45.78,-21 46 51.7,RR,14.1,0.5707,nulltype,YES!,3,J221045.83-214651.7,332.6909779,-21.7810461,2.50,1
CF Del,*,20 23 31.34,+12 59 30.4,RR,13.9,0.49923,A5,no,1,J202331.38+125930.6,305.880776,12.991838,2.50,1
X Equ,x,21 00 12.08,+09 14 22.2,RR,13.6,0.4764435,nulltype,"YES, at 0.47650d",3,J210012.11+091422.0,315.0504923,9.2394459,2.50,1
IK Hya,*,12 04 47.27,-27 40 43.3,RR,9.96,0.65,A2:,"YES, at 0.65033d",3,J120447.22-274043.7,181.196775,-27.6788298,2.50,1
SS Ret,x,03 56 52.23,-62 17 48.9,RR,13.8,0.5,nulltype,no,1,J035652.13-621748.4,59.2172452,-62.2967952,2.50,1
QW Aqr,*,21 07 26.08,+01 10 17.6,RR(B),13.01,0.35498,nulltype,YES,3,J210726.05+011017.3,316.8585801,1.1714908,2.50,1
AQ Leo,*,11 23 55.30,+10 18 58.2,RR(B),12.37,0.5497508,A1,YES,3,J112355.27+101858.9,170.980325,10.3163741,2.50,1
V2853 Ori,*,06 06 23.09,+08 03 48.9,RR(B),10.95,0.3321423,nulltype,YES!,3,J060623.08+080348.8,91.596206,8.0635681,2.50,1
V0743 Pup,*,07 58 42.16,-25 36 00.9,RR(B),11.8,0.410127,nulltype,YES!,3,J075842.15-253600.9,119.675666,-25.6002721,2.50,1
AL Vol,*,08 16 09.44,-66 44 47.9,RR(B),12.3,0.51721,nulltype,YES!,3,J081609.42-664447.5,124.0392572,-66.7465447,2.50,1
SW And,*,00 23 43.09,+29 24 03.6,RRAB,9.14,0.4422618,A7III-F8III,BEAUTIFUL!,3,J002343.08+292403.4,5.9295142,29.4009644,2.50,1
AP CVn,*,12 51 10.57,+32 58 19.1,RRAB,13.36,0.5746389,nulltype,YES!,3,J125110.57+325818.2,192.794067,32.9717255,2.50,1
DS Cap,x,20 34 19.54,-25 08 54.0,RRAB,11.65,0.5262389,nulltype,no,1,J203419.51-250854.1,308.581327,-25.1483795,2.50,1
