Name,Teff1,Teff1_err,Teff2,Teff2_err,Vmag,source,RAJ2000,DecJ2000,Period,Result,qual,AllWISE Name,allwise_ra_j2000,allwise_dec_j2000,query_rad,Arcsec Real Center Deviance from Catalog,include
UV Psc,5780,100,4750,80,9.01,AllWISE,19.22966,6.8117,0.8610482,iffy,2,J011655.18+064842.2,19.2299172,6.8117356,2.000,0.9347474696,1
XY Cet,7870,115,7620,125,8.75,AllWISE,44.88971,3.51756,2.7807135,YES,3,J025933.53+033103.1,44.8897088,3.5175426,2.000,0.06278878881,1
V1130 Tau,6625,70,6650,70,6.66,AllWISE,57.67475,1.56395,0.8,cannot confirm,1,J035041.92+013350.0,57.6746924,1.5638981,2.000,0.2791188908,1
EW Ori,5970,100,5780,100,9.78,AllWISE,80.03811,2.04444,6.9368515,YES,3,J052009.14+020240.1,80.0380853,2.0444754,2.000,0.1553953667,1
V578 Mon,30000,740,26400,600,8.55,AllWISE,98.00254,4.87803,2.40848,MAYBE,2,J063200.61+045240.7,98.0025796,4.8779905,2.000,0.2013558879,1
AI Hya,6700,60,7100,65,9.35,AllWISE,124.69775,0.28338,8.289676,YES,3,J081847.49+001700.6,124.6978906,0.2835125,2.000,0.6955048135,1
FM Leo,6316,240,6190,211,8.45,AllWISE,168.1879,0.34801,6.72863,MAYBE,2,J111245.02+002052.4,168.1875956,0.3479093,2.000,1.154246965,1
AQ Ser,6430,100,6340,100,10.65,AllWISE,230.56326,2.50308,1.6874,YES,3,J152215.18+023011.0,230.563266,2.5030827,2.000,0.02368624913,1
V335 Ser,9020,150,8510,150,7.49,AllWISE,239.77399,0.59571,3.449912,MAYBE,2,J155905.76+003544.5,239.7740347,0.5957144,2.000,0.1616977179,1
U Oph,16440,250,15590,250,5.9,AllWISE,259.13214,1.21054,1.67734617,YES,3,J171631.70+011238.0,259.1320855,1.2105629,2.000,0.2128163376,1
V2368 Oph,9300,200,9500,200,6.18,AllWISE,259.05942,2.1862,38.3302,not really,1,J171614.26+021109.9,259.0594359,2.1861039,2.000,0.3506632846,1
V413 Ser,11100,300,10350,280,7.99,AllWISE,278.7842,0.04301,2.259775,no,1,J183508.21+000234.6,278.7842241,0.0429642,2.000,0.1863134778,1
